username,meter_id,dwelling_type,region,area,community,unit,floor,email,tel,reading,time
1,221361941,1-room / 2-room,Central,1,1,1,1,11111111@gmail.com,11111,4444,2025-02-16 00:00:00
1,628472902,1-room / 2-room,Central,1,1,1,1,11111111@gmail.com,111,0,2025-02-16 00:00:00
1,993730094,1-room / 2-room,Central,1,1,1,1,11111111@gmail.com,1,0,2025-02-16 00:00:00
2,386003931,1-room / 2-room,Central,Jurong,1,1,1,11111111@gmail.com,111,0,2025-02-16 00:00:00
1,874377898,1-room / 2-room,Central,1,1,1,1,11111111@gmail.com,11,222,2025-02-16 00:00:00
Jiaxin,123-456-789,3-room,Central,Bishan,Greenfield Estate,#05-123,5,jiaxin@example.com,80900378,12410,2025-02-18 00:00:00
Haixin,987-654-321,3-room,East,Outram,Greenfield Estate,#03-123,5,haixin@example.com,80901263,1280,2025-02-18 00:00:00
zhangjing,987-654-320,3-room,West,Outram,Greenfield Estate,#03-124,2,zhangjing@example.com,80901264,12356,2025-02-18 00:00:00
C240050,123-456-780,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C240050@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C240050,123-456-788,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C240050@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C240050,123-456-781,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C240050@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C240050,123-456-783,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C240050@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C240050,123-456-782,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C240050@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C240050,111-111-111,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C5243650@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C240050,222-222-222,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C5243650@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C240050,111-112-111,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C5243650@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C240050,111-000-000,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C5243650@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C240050,111-000-001,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C5243650@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C24,111-000-004,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C5243650@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C24,111-000-005,3-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C5243650@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C24,111-000-007,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C5243650@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C24,111-000-008,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C5243650@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C24,111-000-009,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C5243650@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C24,111-000-011,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C5243650@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C24,111-000-021,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C5243650@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C24,111-000-022,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C5243650@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C24,111-000-032,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C5243650@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C24,111-000-031,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C5243650@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
C24,111-000-034,1-room / 2-room,Central,Singapore ORQ,gq3gtwe,gs3225,5,C5243650@e.ntu.edu.sg,84523970,0,2025-02-18 00:00:00
